OPTIONS	20	
VEHICULES	996	
		
RATIO	POIDS	NOM
2 3	10	HPRC1
1 10	10	HPRC2
2 3	10	HPRC3
1 4	10	HPRC4
1 3	10	HPRC5
2 3	10	HPRC6
1 28	1	LPRC1
1 18	1	LPRC2
1 9	1	LPRC3
1 6	1	LPRC4
1 20	1	LPRC5
1 2	1	LPRC6
1 3	1	LPRC7
5 8	1	LPRC8
1 20	1	LPRC9
1 3	1	LPRC10
2 3	1	LPRC11
1 7	1	LPRC12
1 76	1	LPRC13
17 30	1	LPRC14

VEHICULE	HPRC1	HPRC2	HPRC3	HPRC4	HPRC5	HPRC6	LPRC1	LPRC2	LPRC3	LPRC4	LPRC5	LPRC6	LPRC7	LPRC8	LPRC9	LPRC10	LPRC11	LPRC12	LPRC13	LPRC14
132	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
133	1	1	1	1	1	1	0	0	1	0	0	1	0	0	0	0	1	0	0	1
134	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
135	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0
136	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
137	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
138	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
139	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
140	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
141	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1
142	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
143	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
144	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
145	0	1	1	0	1	1	0	0	1	0	0	1	0	1	0	1	1	0	0	0
146	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
147	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
148	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
149	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
150	1	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
151	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
152	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
153	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
154	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
155	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0
156	1	1	1	1	1	1	0	0	1	0	0	1	0	0	0	0	1	0	0	1
157	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
158	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
159	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
160	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
161	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
162	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0
163	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
164	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
165	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1
166	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
167	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
168	1	1	0	0	1	0	0	0	1	0	0	1	1	1	0	0	1	0	0	0
169	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
170	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1
171	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
172	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
173	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
174	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
175	1	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1
176	1	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
177	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
178	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
179	1	1	1	1	1	1	0	0	1	0	0	1	0	0	0	0	1	0	0	1
180	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1
181	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	1	1	0	0
182	1	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
183	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
184	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
185	1	0	1	0	0	1	0	1	0	0	0	1	0	1	0	1	1	0	0	0
186	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
187	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
188	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
189	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
190	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
191	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
192	0	1	1	0	1	1	0	0	1	0	0	1	0	1	0	0	1	0	0	0
193	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
194	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
195	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
196	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
197	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1
198	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
199	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
200	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
201	1	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
202	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
203	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
204	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
205	0	1	0	0	1	1	0	0	1	0	0	1	0	0	0	0	1	0	0	1
206	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
207	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
208	1	0	1	1	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	1
209	1	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
210	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
211	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0
212	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
213	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
214	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
215	1	1	1	1	1	1	0	0	1	0	0	1	0	0	0	0	1	0	0	1
216	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
217	1	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0
218	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
219	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
220	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
221	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
222	1	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0
223	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
224	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
225	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
226	0	1	0	0	1	1	0	0	1	0	0	1	0	1	0	1	1	0	0	0
227	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
228	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
229	1	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
230	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
231	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
232	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
233	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
234	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1
235	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
236	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
237	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
238	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0
239	1	1	1	1	1	1	0	0	1	0	0	1	0	0	0	0	1	0	0	1
240	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
241	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0
242	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
243	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
244	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
245	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
246	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
247	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1
248	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
249	1	1	1	1	1	1	0	0	1	0	0	1	0	0	0	0	1	0	0	1
250	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
251	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
252	1	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
253	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
254	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
255	1	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
256	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1
257	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
258	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
259	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
260	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
261	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
262	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0
263	1	1	1	1	1	1	0	0	1	0	0	1	0	0	0	0	1	0	0	1
264	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
265	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1
266	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	1
267	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
268	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
269	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
270	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
271	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
272	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
273	1	1	1	1	1	1	0	0	1	0	0	1	0	0	0	0	1	0	0	1
274	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0
275	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
276	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0
277	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
278	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0
279	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
280	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
281	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1
282	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
283	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
284	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
285	1	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
286	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
287	1	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1
288	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
289	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
290	1	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
291	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
292	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
293	0	1	1	0	1	1	0	0	1	0	0	1	1	0	0	0	1	0	0	1
294	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
295	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
296	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0
297	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1
298	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
299	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
300	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
301	1	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
302	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
303	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
304	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
305	1	1	1	1	1	1	0	0	1	0	0	1	0	0	0	0	1	0	0	1
306	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0
307	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
308	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
310	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
311	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
312	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0
313	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
314	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
