OPTIONS	8							
VEHICULES	921							
								
RATIO	POIDS	NOM						
113	0	1	0	0	0	0	0	0
114	1	0	0	1	0	0	0	0
115	0	1	0	0	0	0	0	1
116	0	0	0	0	0	0	1	0
117	0	0	0	0	0	0	1	0
118	0	0	0	0	0	0	1	0
119	1	0	0	0	0	0	0	0
120	0	0	1	0	0	0	1	0
121	0	1	0	0	0	0	0	1
122	0	0	0	0	0	0	0	0
123	0	1	0	0	0	0	0	0
124	1	0	0	1	0	0	0	0
125	0	1	0	0	0	0	0	1
126	0	0	0	0	0	0	0	0
127	0	0	0	0	0	0	0	0
128	0	1	0	0	0	0	0	0
129	1	0	0	0	0	0	0	0
130	0	0	0	0	0	0	0	0
131	0	1	0	0	0	0	0	1
132	0	0	0	0	0	0	1	0
133	0	1	0	0	0	0	0	0
134	1	0	0	1	0	0	0	0
135	0	0	0	0	0	0	1	0
136	0	1	0	0	0	0	0	1
137	0	0	0	0	0	0	0	0
138	1	0	0	0	0	0	0	0
139	0	0	0	0	0	0	1	0
140	0	1	0	0	0	0	0	1
141	0	0	0	0	0	0	0	0
142	0	1	0	0	0	0	0	0
143	1	0	0	1	0	0	0	0
144	0	0	0	0	0	0	0	0
145	0	1	0	0	0	0	0	0
146	0	0	0	0	0	0	0	1
147	0	1	0	0	0	0	0	0
148	1	0	0	1	1	0	0	0
149	0	0	0	0	0	0	1	0
150	0	0	0	0	0	0	0	0
151	0	1	0	0	0	0	0	1
152	0	0	0	0	0	0	0	0
153	1	0	0	0	0	0	0	0
154	0	0	0	0	0	0	0	0
155	0	1	0	0	0	0	0	0
156	0	0	0	0	0	0	0	0
157	0	1	0	0	0	0	0	1
158	1	0	0	1	0	0	0	0
159	0	1	0	0	0	0	0	0
160	0	0	0	0	0	0	1	0
161	0	1	0	0	0	0	0	0
162	0	0	0	0	0	0	0	1
163	0	1	0	0	0	0	0	0
164	1	0	0	1	0	0	0	0
165	0	0	1	0	0	0	1	0
166	0	0	0	0	0	0	0	0
167	0	0	0	0	0	0	0	0
168	0	1	0	0	0	0	0	1
169	1	0	0	0	0	0	0	0
170	0	0	0	0	0	0	0	0
171	0	1	0	0	0	0	0	0
172	0	0	0	0	0	0	1	0
173	0	0	0	0	0	0	0	0
174	0	1	0	0	0	0	0	1
175	1	0	0	1	0	0	0	0
176	0	0	0	0	0	0	0	0
177	0	1	0	0	0	0	0	0
178	0	0	0	0	0	0	0	0
179	0	0	0	0	0	0	0	0
180	1	0	0	0	0	0	0	0
181	0	1	0	0	0	0	0	1
182	0	0	0	0	0	0	0	0
183	0	0	0	0	0	0	0	0
184	0	1	0	0	0	0	0	0
185	1	0	0	1	0	0	0	0
186	0	0	0	0	0	0	0	1
187	0	1	0	0	0	0	0	0
188	0	0	0	0	0	0	1	0
189	0	1	0	0	0	0	0	0
190	1	0	0	0	0	0	0	0
191	0	1	0	0	0	0	0	0
192	0	0	0	1	0	0	0	1
193	0	0	0	0	0	0	0	0
194	0	0	1	0	0	0	1	0
195	1	0	0	0	0	0	0	0
196	0	1	0	0	0	0	0	1
197	0	0	0	0	0	0	1	0
198	0	0	0	0	0	0	1	0
199	0	0	0	0	0	0	1	0
200	1	0	0	1	0	0	0	0
201	0	0	0	0	0	0	0	0
202	0	0	0	0	0	0	1	0
203	0	0	0	0	0	0	1	0
204	0	1	0	0	0	0	0	1
205	1	0	0	0	0	0	0	0
206	0	0	0	0	0	0	0	0
207	0	1	0	0	0	0	0	0
208	0	0	0	0	0	0	1	0
209	0	1	0	0	0	0	0	1
210	1	0	0	1	0	0	0	0
211	0	1	0	0	0	0	0	0
212	0	0	0	0	0	0	0	0
213	0	1	0	0	0	0	0	0
214	0	0	0	0	0	0	1	0
215	0	1	0	0	0	0	0	1
216	1	0	0	1	1	0	0	0
217	0	0	0	0	0	0	1	0
218	0	0	0	0	0	0	1	0
219	0	0	0	0	0	0	1	0
220	0	0	0	0	0	0	1	0
221	0	0	0	0	0	0	1	0
222	1	0	0	0	0	0	0	0
223	0	0	0	0	0	0	1	0
224	0	0	1	0	0	0	1	0
225	0	0	0	0	0	0	0	0
226	0	0	0	0	0	0	1	0
227	1	0	0	1	0	0	0	0
228	0	0	0	0	0	0	1	0
229	0	0	0	0	0	0	0	0
230	0	0	0	0	0	0	0	0
231	0	0	0	0	0	0	1	0
232	1	0	0	1	0	0	0	0
233	0	0	0	0	0	0	0	0
234	0	0	0	0	0	0	1	0
235	0	0	0	0	0	0	1	0
236	0	1	0	0	0	0	0	1
237	1	0	0	0	0	0	0	0
238	0	0	0	0	0	0	0	0
239	0	0	0	0	0	0	0	0
240	0	1	0	0	0	0	0	0
241	0	0	0	0	0	0	0	1
242	1	0	0	1	0	0	0	0
243	0	1	0	0	0	0	0	0
244	0	0	0	0	0	0	0	0
245	0	0	0	0	0	0	1	0
246	0	1	0	0	0	0	0	0
247	1	0	0	0	0	0	0	0
248	0	0	0	0	0	0	0	1
249	0	0	0	0	0	0	1	0
250	0	1	0	0	0	0	0	0
251	1	0	0	1	0	0	0	0
252	0	0	0	0	0	0	0	0
253	0	1	0	0	0	0	0	0
254	0	0	0	0	0	0	0	1
255	0	0	0	0	0	0	0	0
256	1	0	0	0	0	0	0	0
257	0	1	0	0	0	0	0	0
258	0	0	0	0	0	0	1	0
259	0	0	1	0	0	0	1	0
260	0	1	0	0	0	0	0	1
261	1	0	0	1	0	0	0	0
262	0	0	0	0	0	0	1	0
263	0	1	0	0	0	0	0	0
264	0	0	0	0	0	0	0	0
265	0	1	0	0	0	0	0	0
266	1	0	0	0	0	0	0	0
267	0	1	0	0	0	0	0	1
268	0	0	0	0	0	0	1	0
269	0	0	0	0	0	0	1	0
270	0	0	0	0	0	0	1	0
271	1	0	0	1	0	0	0	0
272	0	0	0	0	0	0	1	0
273	0	0	0	0	0	0	1	0
274	0	0	0	0	0	0	1	0
275	0	0	0	0	0	0	1	0
276	1	0	0	1	0	0	0	0
277	0	0	0	0	0	0	1	0
278	0	0	0	0	0	0	1	0
279	0	0	0	0	0	0	1	0
280	0	0	0	0	0	0	1	0
281	0	1	0	0	0	0	0	1
282	0	0	0	0	0	0	0	0
283	1	0	0	1	1	0	0	0
284	0	1	0	0	0	0	0	0
285	0	0	0	0	0	0	1	0
286	0	1	0	0	0	0	0	1
287	0	0	0	0	0	0	0	0
288	0	0	0	0	0	0	1	0
289	1	0	0	0	0	0	0	0
290	0	0	0	0	0	0	0	0
291	0	1	0	0	0	0	0	0
292	0	0	0	0	0	0	0	1
293	0	0	0	0	0	0	0	0
294	1	0	0	1	0	0	0	0
295	0	1	0	0	0	0	0	0
296	0	0	0	0	0	0	1	0
297	0	0	0	0	0	0	0	1
298	0	0	0	0	0	0	0	0
299	1	0	0	0	0	0	0	0
300	0	1	0	0	0	0	0	0
301	0	0	1	0	0	0	1	0
302	0	1	0	0	0	0	0	0
303	0	0	0	1	0	0	0	1
304	1	0	0	0	0	0	0	0
305	0	1	0	0	0	0	0	0
306	0	0	0	0	0	0	0	0
307	0	1	0	0	0	0	0	0
308	0	0	0	0	0	0	0	0
309	0	1	0	0	0	0	0	1
310	1	0	0	1	0	0	0	0
311	0	0	0	0	0	0	1	0
312	0	1	0	0	0	0	0	1
313	0	0	0	0	0	0	1	0
314	0	0	0	0	0	0	1	0
315	1	0	0	1	1	0	0	0
316	0	0	1	0	0	0	1	0
317	0	1	0	0	0	0	0	0
318	0	0	0	0	0	0	1	0
319	0	1	0	0	0	0	0	1
320	0	0	0	0	0	0	1	0
321	1	0	0	1	0	1	0	0
322	0	0	0	0	0	0	1	0
323	0	1	0	0	0	0	0	0
324	0	0	0	0	0	0	1	0
325	0	0	0	0	0	0	1	0
326	1	0	0	0	0	0	0	0
327	0	0	0	0	0	0	1	0
328	0	1	0	1	0	0	0	1
329	0	0	0	0	0	0	1	0
330	0	1	0	0	0	0	0	0
331	1	0	0	0	0	0	0	0
332	0	0	0	0	0	0	1	0
333	0	1	0	0	0	0	0	1
334	0	0	0	0	0	0	1	0
335	0	0	0	0	0	0	1	0
336	1	0	0	0	0	0	0	0
337	0	0	0	0	0	0	1	0
338	0	0	0	0	0	0	0	0
339	0	1	0	1	0	0	0	1
340	0	0	0	0	0	0	1	0
341	1	0	0	0	0	0	0	0
342	0	0	0	0	0	0	0	0
343	0	0	0	0	0	0	1	0
344	0	0	0	0	0	0	1	0
345	0	1	0	0	0	0	0	0
346	0	0	0	0	0	0	1	0
347	1	0	0	1	1	0	0	0
348	0	0	0	0	0	0	1	0
349	0	1	0	0	0	0	0	1
350	0	0	0	0	0	0	1	0
351	0	0	0	0	0	0	0	0
352	1	0	0	0	0	0	0	0
353	0	0	0	0	0	0	1	0
354	0	0	0	0	0	0	1	0
355	0	0	0	1	0	0	0	1
356	0	0	0	0	0	0	1	0
357	1	0	0	0	0	0	0	0
358	0	0	0	0	0	0	1	0
359	0	0	0	0	0	0	1	0
360	0	0	0	0	0	0	0	0
361	0	0	1	0	0	0	1	0
362	1	0	0	1	0	0	0	0
363	0	1	0	0	0	0	0	1
364	0	0	0	0	0	0	1	0
365	0	0	0	0	0	0	0	0
366	0	1	0	0	0	0	0	0
367	1	0	0	0	0	0	0	0
368	0	1	0	0	0	0	0	1
369	0	0	0	0	0	0	0	0
370	0	0	0	0	0	0	0	0
371	0	0	0	0	0	0	1	0
372	1	0	0	0	0	0	0	0
373	0	1	0	1	0	0	0	1
374	0	0	0	0	0	0	1	0
375	0	1	0	0	0	0	0	0
376	1	0	0	0	0	0	0	0
377	0	1	0	0	0	0	0	1
378	0	0	0	0	0	0	1	0
379	0	0	0	0	0	0	1	0
380	0	0	0	0	0	0	0	0
381	1	0	0	1	0	0	0	0
382	0	0	0	0	0	0	1	0
383	0	1	0	0	0	0	0	1
384	0	0	0	0	0	0	1	0
385	0	0	0	0	0	0	1	0
386	0	0	0	0	0	0	0	0
387	1	0	0	1	0	0	0	0
388	0	0	0	0	0	0	1	0
389	0	1	0	0	0	0	0	1
390	0	0	1	0	0	0	1	0
391	0	1	0	0	0	0	0	0
392	0	0	0	0	0	0	1	0
393	1	0	0	1	0	0	0	0
394	0	0	0	0	0	0	1	0
395	0	1	0	0	0	0	0	1
396	0	0	0	0	0	0	1	0
397	0	0	0	0	0	0	1	0
398	1	0	0	1	1	0	0	0
399	0	0	0	0	0	0	0	0
400	0	0	0	0	0	0	0	0
401	0	0	0	0	0	0	0	0
402	0	0	0	0	0	0	1	0
403	0	0	0	0	0	0	0	0
404	1	0	0	1	0	0	0	0
405	0	0	0	0	0	0	1	0
406	0	1	0	0	0	0	0	1
407	0	0	0	0	0	0	0	0
408	0	0	0	0	0	0	0	0
409	0	0	0	0	0	0	1	0
410	0	0	0	0	0	0	0	0
411	1	0	0	1	0	0	0	0
412	0	0	0	0	0	0	1	0
413	0	1	0	0	0	0	0	0
414	0	0	0	0	0	0	1	0
415	0	0	0	0	0	0	0	0
416	1	0	0	0	0	0	0	0
417	0	0	0	0	0	0	1	0
418	0	0	0	1	0	0	0	1
419	0	0	1	0	0	0	1	0
420	0	1	0	0	0	0	0	0
421	1	0	0	0	0	0	0	0
422	0	0	0	0	0	0	0	0
423	0	0	0	0	0	0	1	0
424	0	1	0	0	0	0	0	1
425	0	0	0	0	0	0	0	0
426	1	0	0	1	0	0	0	0
427	0	1	0	0	0	0	0	0
428	0	0	0	0	0	0	1	0
429	0	0	0	0	0	0	0	0
430	0	1	0	0	0	0	0	1
431	1	0	0	0	0	0	0	0
432	0	0	0	0	0	0	0	0
433	0	1	0	0	0	0	0	0
434	0	0	0	0	0	0	0	0
435	0	1	0	1	0	0	0	1
436	1	0	0	0	0	0	0	0
437	0	0	0	0	0	0	0	0
438	0	1	0	0	0	0	0	1
439	0	0	0	0	0	0	1	0
440	0	0	0	0	0	0	0	0
441	0	0	0	0	0	0	0	0
442	1	0	0	0	0	0	0	0
443	0	0	0	0	0	0	0	0
444	0	1	0	0	0	0	0	1
445	0	0	0	0	0	0	0	0
446	0	0	0	0	0	0	0	0
447	1	0	0	1	0	0	0	0
448	0	1	0	0	0	0	0	1
449	0	0	0	0	0	0	1	0
450	0	0	0	0	0	0	0	0
451	0	0	0	0	0	0	1	0
452	0	0	1	0	0	0	1	0
453	1	0	0	0	0	0	0	0
454	0	0	0	0	0	0	0	0
455	0	0	0	0	0	0	1	0
456	0	1	0	0	0	0	0	0
457	0	0	0	0	0	0	1	0
458	1	0	0	1	1	0	0	0
459	0	0	0	0	0	0	0	0
460	0	0	0	0	0	0	1	0
461	0	0	0	0	0	0	0	0
462	0	0	0	0	0	0	0	0
463	0	0	0	0	0	0	1	0
464	1	0	0	0	0	0	0	0
465	0	1	0	0	0	0	0	1
466	0	0	0	0	0	0	0	0
467	0	0	0	0	0	0	0	0
468	0	1	0	0	0	0	0	1
469	1	0	0	1	0	0	0	0
470	0	1	0	0	0	0	0	0
471	0	0	0	0	0	0	1	0
472	0	0	0	0	0	0	0	0
473	0	1	0	0	0	0	0	1
474	1	0	0	0	0	0	0	0
475	0	0	0	0	0	0	0	0
476	0	1	0	0	0	0	0	1
477	0	0	0	0	0	0	1	0
478	0	1	0	0	0	0	0	0
479	1	0	0	1	0	0	0	0
480	0	1	0	0	0	0	0	0
481	0	0	0	0	0	0	0	0
482	0	1	0	0	0	0	0	1
483	0	0	0	0	0	0	0	0
484	1	0	0	0	0	0	0	0
485	0	1	0	0	0	0	0	1
486	0	0	1	0	0	0	1	0
487	0	0	0	0	0	0	1	0
488	0	1	0	0	0	0	0	0
489	1	0	0	1	0	0	0	0
490	0	0	0	0	0	0	1	0
491	0	0	0	0	0	0	1	0
492	0	0	0	0	0	0	0	0
493	0	1	0	0	0	0	0	1
494	0	0	0	0	0	0	1	0
495	1	0	0	1	0	1	0	0
496	0	0	0	0	0	0	1	0
497	0	1	0	0	0	0	0	0
498	0	0	0	0	0	0	1	0
499	0	0	0	0	0	0	1	0
500	1	0	0	0	0	0	0	0
501	0	0	0	0	0	0	1	0
502	0	1	0	0	0	0	0	1
503	0	0	0	0	0	0	1	0
504	0	0	0	0	0	0	1	0
505	1	0	0	1	1	0	0	0
506	0	0	0	0	0	0	0	0
507	0	0	0	0	0	0	1	0
508	0	1	0	0	0	0	0	0
509	0	0	0	0	0	0	0	0
510	0	0	0	0	0	0	1	0
511	0	1	0	0	0	0	0	0
512	1	0	0	1	0	0	0	0
513	0	0	0	0	0	0	1	0
514	0	1	0	0	0	0	0	0
515	0	0	0	0	0	0	0	0
516	0	0	1	0	0	0	1	0
517	0	1	0	0	0	0	0	1
518	1	0	0	1	0	0	0	0
519	0	0	0	0	0	0	1	0
520	0	1	0	0	0	0	0	0
521	0	0	0	0	0	0	0	0
522	0	0	0	0	0	0	1	0
523	1	0	0	1	0	0	0	0
524	0	0	0	0	0	0	0	0
525	0	0	0	0	0	0	0	0
526	0	0	0	0	0	0	1	0
527	0	1	0	0	0	0	0	1
528	1	0	0	0	0	0	0	0
529	0	1	0	0	0	0	0	0
530	0	0	0	0	0	0	0	0
531	0	0	0	0	0	0	0	0
532	0	1	0	0	0	0	0	1
533	1	0	0	1	0	0	0	0
534	0	0	0	0	0	0	0	0
535	0	0	0	0	0	0	0	0
536	0	1	0	0	0	0	0	0
537	0	0	0	0	0	0	1	0
538	0	1	0	0	0	0	0	1
539	1	0	0	0	0	0	0	0
540	0	0	0	0	0	0	0	0
541	0	1	0	0	0	0	0	1
542	0	0	0	0	0	0	1	0
543	0	1	0	0	0	0	0	0
544	1	0	0	1	0	0	0	0
545	0	0	0	0	0	0	0	0
546	0	0	0	0	0	0	0	0
547	0	1	0	0	0	0	0	1
548	0	0	0	0	0	0	1	0
549	0	0	0	0	0	0	0	0
550	0	1	0	0	0	0	0	0
551	1	0	0	1	0	0	0	0
552	0	1	0	0	0	0	0	1
553	0	0	0	0	0	0	0	0
554	0	1	0	0	0	0	0	0
555	0	0	0	0	0	0	0	0
556	1	0	0	0	0	0	0	0
557	0	0	0	0	0	0	0	0
558	0	1	0	1	0	0	0	1
559	0	0	0	0	0	0	1	0
560	0	1	0	0	0	0	0	0
561	1	0	0	0	0	0	0	0
562	0	1	0	0	0	0	0	1
563	0	0	0	0	0	0	0	0
564	0	0	0	0	0	0	0	0
565	0	1	0	0	0	0	0	0
566	1	0	0	1	0	0	0	0
567	0	1	0	0	0	0	0	1
568	0	0	0	0	0	0	0	0
569	0	0	1	0	0	0	1	0
570	0	1	0	0	0	0	0	1
571	1	0	0	0	0	0	0	0
572	0	0	0	0	0	0	0	0
573	0	1	0	0	0	0	0	0
574	0	0	0	0	0	0	1	0
575	0	1	0	1	0	0	0	1
576	1	0	0	0	0	0	0	0
577	0	1	0	0	0	0	0	0
578	0	0	0	0	0	0	0	0
579	0	1	0	0	0	0	0	1
580	0	0	0	0	0	0	0	0
581	0	1	0	0	0	0	0	1
582	1	0	0	1	0	0	0	0
583	0	0	0	0	0	0	0	0
584	0	0	0	0	0	0	0	0
585	0	0	0	0	0	0	1	0
586	0	1	0	0	0	0	0	1
587	1	0	0	0	0	0	0	0
588	0	1	0	0	0	0	0	1
589	0	0	0	0	0	0	0	0
590	0	1	0	0	0	0	0	0
591	0	0	0	0	0	0	1	0
592	1	0	0	1	0	0	0	0
593	0	1	0	0	0	0	0	1
594	0	0	0	0	0	0	1	0
595	0	1	0	0	0	0	0	0
596	0	0	0	0	0	0	0	0
597	0	0	0	0	0	0	1	0
598	0	1	0	0	0	0	0	1
599	1	0	0	1	0	0	0	0
600	0	0	0	0	0	0	0	0
601	0	0	0	0	0	0	0	0
602	0	1	0	0	0	0	0	1
603	0	0	0	0	0	0	1	0
604	0	0	0	0	0	0	0	0
605	1	0	0	0	0	0	0	0
606	0	1	0	0	0	0	0	0
607	0	0	0	1	0	0	0	1
608	0	0	1	0	0	0	1	0
609	0	1	0	0	0	0	0	0
610	0	0	0	0	0	0	1	0
611	1	0	0	0	0	0	0	0
612	1	0	0	1	1	0	0	0
613	0	1	0	0	0	0	0	1
614	0	0	0	0	0	0	1	0
615	0	1	0	0	0	0	0	0
616	0	0	0	0	0	0	0	0
617	1	0	0	0	0	0	0	0
618	0	1	0	0	0	0	0	1
619	0	0	0	0	0	0	0	0
620	0	1	0	0	0	0	0	0
621	0	0	0	0	0	0	0	0
622	1	0	0	1	0	0	0	0
623	0	1	0	0	0	0	0	1
624	0	0	0	0	0	0	1	0
625	0	1	0	0	0	0	0	0
626	0	0	0	0	0	0	0	0
627	1	0	0	0	0	0	0	0
628	0	1	0	0	0	0	0	1
629	0	0	0	0	0	0	0	0
630	0	1	0	0	0	0	0	0
631	0	0	0	0	0	0	0	0
632	1	0	0	1	0	0	0	0
633	0	1	0	0	0	0	0	1
634	0	0	0	0	0	0	1	0
635	0	0	0	0	0	0	0	0
636	0	0	0	0	0	0	0	0
637	0	0	0	0	0	0	1	0
638	1	0	0	1	1	0	0	0
639	0	1	0	0	0	0	0	1
640	0	0	0	0	0	0	1	0
641	0	0	0	0	0	0	0	0
642	0	0	0	0	0	0	1	0
643	1	0	0	0	0	0	0	0
644	0	0	0	0	0	0	0	0
645	0	0	0	0	0	0	1	0
646	0	1	0	1	0	0	0	1
647	0	0	0	0	0	0	0	0
648	0	0	0	0	0	0	1	0
649	1	0	0	0	0	0	0	0
650	0	1	0	0	0	0	0	0
651	0	0	0	0	0	0	1	0
652	0	0	0	0	0	0	1	0
653	0	1	0	0	0	0	0	1
654	1	0	0	1	0	0	0	0
655	0	0	0	0	0	0	1	0
656	0	0	0	0	0	0	0	0
657	0	1	0	0	0	0	0	0
658	0	0	0	0	0	0	1	0
659	0	1	0	0	0	0	0	1
660	1	0	0	1	0	0	0	0
661	0	0	0	0	0	0	1	0
662	0	1	0	0	0	0	0	0
663	0	0	0	0	0	0	0	0
664	0	0	0	0	0	0	1	0
665	0	1	0	0	0	0	0	1
666	1	0	0	1	0	0	0	0
667	0	0	0	0	0	0	1	0
668	0	1	0	0	0	0	0	0
669	0	0	0	0	0	0	1	0
670	0	0	0	0	0	0	0	0
671	0	0	0	0	0	0	0	0
672	0	0	0	0	0	0	1	0
673	1	0	0	1	0	0	0	0
674	0	1	0	0	0	0	0	0
675	0	0	0	0	0	0	1	0
676	0	1	0	0	0	0	0	1
677	0	0	0	0	0	0	0	0
678	0	0	0	0	0	0	1	0
679	0	1	0	0	0	0	0	0
680	1	0	0	1	0	0	0	0
681	0	0	0	0	0	0	1	0
682	0	1	0	0	0	0	0	1
683	0	0	0	0	0	0	1	0
684	0	0	0	0	0	0	0	0
685	1	0	0	0	0	0	0	0
686	0	0	0	0	0	0	1	0
687	0	0	0	0	0	0	0	0
688	0	1	0	0	0	0	0	1
689	0	0	0	0	0	0	1	0
690	1	0	0	1	1	0	0	0
691	0	1	0	0	0	0	0	0
692	0	0	0	0	0	0	1	0
693	0	0	0	0	0	0	0	0
694	0	1	0	0	0	0	0	0
695	0	0	0	0	0	0	1	0
696	0	1	0	0	0	0	0	1
697	1	0	0	1	0	0	0	0
698	0	0	0	0	0	0	1	0
699	0	1	0	0	0	0	0	0
700	0	0	0	0	0	0	1	0
701	0	1	0	0	0	0	0	0
702	0	0	0	0	0	0	1	0
703	0	1	0	0	0	0	0	1
704	1	0	0	1	0	0	0	0
705	0	0	0	0	0	0	1	0
706	0	1	0	0	0	0	0	0
707	0	0	0	0	0	0	0	0
708	0	0	0	0	0	0	1	0
709	1	0	0	0	0	0	0	0
710	0	1	0	0	0	0	0	1
711	0	0	0	0	0	0	1	0
712	0	0	0	0	0	0	0	0
713	0	0	0	0	0	0	1	0
714	1	0	0	1	0	0	0	0
715	0	0	0	0	0	0	0	0
716	0	0	0	0	0	0	1	0
717	0	1	0	0	0	0	0	1
718	0	0	0	0	0	0	1	0
719	1	0	0	0	0	0	0	0
720	0	0	0	0	0	0	0	0
721	0	0	0	0	0	0	1	0
722	0	0	0	0	0	0	0	0
723	0	0	0	0	0	0	1	0
724	1	0	0	1	1	0	0	0
725	0	0	0	0	0	0	1	0
726	0	1	0	0	0	0	0	1
727	0	0	0	0	0	0	1	0
728	0	0	0	0	0	0	0	0
729	0	1	0	0	0	0	0	0
730	0	0	0	0	0	0	1	0
731	1	0	0	1	0	0	0	0
732	0	1	0	0	0	0	0	1
733	0	0	0	0	0	0	1	0
734	0	0	0	0	0	0	0	0
735	0	0	0	0	0	0	0	0
736	1	0	0	0	0	0	0	0
737	0	0	0	0	0	0	1	0
738	0	1	0	0	0	0	0	1
739	0	0	0	0	0	0	0	0
740	0	0	0	0	0	0	0	0
741	1	0	0	1	0	0	0	0
742	0	1	0	0	0	0	0	0
743	0	0	0	0	0	0	1	0
744	0	0	0	0	0	0	0	0
745	0	1	0	0	0	0	0	1
746	1	0	0	0	0	0	0	0
747	0	0	0	0	0	0	1	0
748	0	1	0	0	0	0	0	0
749	0	0	0	0	0	0	0	0
750	0	1	0	0	0	0	0	0
751	1	0	0	1	0	0	0	0
752	0	1	0	0	0	0	0	1
753	0	0	0	0	0	0	0	0
754	0	1	0	0	0	0	0	0
755	0	0	0	0	0	0	1	0
756	1	0	0	0	0	0	0	0
757	0	1	0	0	0	0	0	1
758	0	0	0	0	0	0	1	0
759	0	0	0	0	0	0	0	0
760	0	0	0	0	0	0	0	0
761	1	0	0	1	0	0	0	0
762	0	0	0	0	0	0	1	0
763	0	1	0	0	0	0	0	0
764	0	0	0	0	0	0	0	0
